author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price_per_month;commissions;district;street;underground
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/288586806/;Москва;rent;flat;4;15;1;44.0;1136;50000;30;Таганский;Мельникова;Пролетарская
Excellent real estate;real_estate_agent;https://www.cian.ru/rent/flat/288697054/;Москва;rent;flat;4;15;1;45.0;1111;50000;0;Таганский;Мельникова;Пролетарская
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/288667768/;Москва;rent;flat;2;13;1;39.1;1662;65000;0;Лефортово;шоссе Энтузиастов;Римская
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/288661601/;Москва;rent;flat;15;17;1;42.0;1428;60000;50;Черемушки;Цюрупы;Профсоюзная
Excellent real estate;real_estate_agent;https://www.cian.ru/rent/flat/288691449/;Москва;rent;flat;5;17;1;40.0;1500;60000;50;Черемушки;Цюрупы;Профсоюзная
Александр Михеев;realtor;https://www.cian.ru/rent/flat/154831420/;Москва;rent;flat;4;16;1;38.0;1105;42000;0;Преображенское;Большая Черкизовская;Преображенская площадь
ATLANT;real_estate_agent;https://www.cian.ru/rent/flat/288960448/;Москва;rent;flat;7;9;1;34.0;2117;72000;50;Хамовники;Оболенский переулок;Парк Культуры
ID 468180;realtor;https://www.cian.ru/rent/flat/288824714/;Москва;rent;flat;15;24;1;31.0;2419;75000;50;Войковский;Старопетровский проезд;Войковская
ID 70013902;homeowner;https://www.cian.ru/rent/flat/252845120/;Москва;rent;flat;8;8;1;12.0;2916;35000;0;Западное Дегунино;Дмитровское шоссе;Селигерская
ID 12958101;official_representative;https://www.cian.ru/rent/flat/287575956/;Москва;rent;flat;10;16;1;39.0;897;34999;50;;;Улица Скобелевская
ID 12962545;unknown;https://www.cian.ru/rent/flat/284397476/;Москва;rent;flat;8;15;1;38.0;1050;39900;0;;;Рассказовка
ATLANT;real_estate_agent;https://www.cian.ru/rent/flat/288970657/;Москва;rent;flat;2;7;1;52.0;1153;60000;50;Можайский;Верейская;Давыдково
ПАРТНЕР;real_estate_agent;https://www.cian.ru/rent/flat/288875832/;Москва;rent;flat;4;9;1;35.5;1267;45000;50;;;Филатов Луг
ATLANT;real_estate_agent;https://www.cian.ru/rent/flat/288719742/;Москва;rent;flat;7;22;1;45.0;1111;50000;50;Ломоносовский;Академика Пилюгина;Новые Черёмушки
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/288853642/;Москва;rent;flat;8;16;1;35.0;1428;50000;50;Басманный;Ладожская;Бауманская
Татьяна Серебрякова;realtor;https://www.cian.ru/rent/flat/288564406/;Москва;rent;flat;2;12;1;40.0;962;38500;30;Гольяново;Уральская;Щёлковская
