author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price_per_month;commissions;district;street;underground
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/286975278/;Москва;rent;flat;10;12;4;178.0;2359;420000;0;Тверской;1-й Тверской-Ямской переулок;Маяковская
Славянский Двор Остоженка;real_estate_agent;https://www.cian.ru/rent/flat/273817487/;Москва;rent;flat;2;6;4;283.0;6713;1900000;0;Хамовники;Остоженка;Кропоткинская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/266223067/;Москва;rent;flat;4;7;4;150.0;3000;450000;0;Пресненский;Хлыновский тупик;Арбатская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/281440564/;Москва;rent;flat;3;9;4;140.0;2142;300000;0;Тверской;3-я Тверская-Ямская;Белорусская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/283806911/;Москва;rent;flat;3;9;4;140.0;2142;300000;0;Тверской;3-я Тверская-Ямская;Белорусская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/286337946/;Москва;rent;flat;2;5;5;190.0;4157;790000;0;Хамовники;переулок Хилков;Парк Культуры
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/283262012/;Москва;rent;flat;5;6;4;172.0;3488;600000;0;Хамовники;Волхонка;Боровицкая
BARNES International Realty;real_estate_agent;https://www.cian.ru/rent/flat/287673650/;Москва;rent;flat;10;12;4;145.0;1379;200000;0;Тверской;2-й Щемиловский переулок;Достоевская
АВИА-АПАРТ;real_estate_agent;https://www.cian.ru/rent/flat/252672747/;Москва;rent;flat;12;13;4;118.0;1478;174500;0;Хорошевский;Ходынский бульвар;ЦСКА
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/288083431/;Москва;rent;flat;16;57;4;152.0;1513;230000;0;Хорошевский;Чапаевский переулок;Аэропорт
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/284227527/;Москва;rent;flat;19;57;5;228.0;1293;295000;0;Хорошевский;Чапаевский переулок;Сокол
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/288096885/;Москва;rent;flat;3;5;4;160.0;5625;900000;0;Замоскворечье;Садовническая;Новокузнецкая
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/272664984/;Москва;rent;flat;18;23;4;162.0;1666;270000;0;Аэропорт;Часовая;Сокол
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/283437124/;Москва;rent;flat;20;23;4;162.0;1666;270000;0;Аэропорт;Часовая;Сокол
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/283437121/;Москва;rent;flat;18;23;4;162.0;1666;270000;0;Аэропорт;Часовая;Сокол
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/287997101/;Москва;rent;flat;3;5;4;156.0;5769;900000;0;Замоскворечье;Садовническая;Новокузнецкая
